Date,Time,Plant_lights,Wharf lights,Total_LESP_per_round,Total_LESP_per_night,Total_ad_LESP_per_night,Total_juv_LESP_per_night,Total_unk_LESP_per_night,Live_LESP_per_night,Dead_LESP_per_night,Live_adults,Dead_adults,Live_breeding_adults,Dead_breeding_adults,Live_nonbreeders,Dead_nonbreeders,Live_juveniles,Dead_juveniles,Location of birds?,# of gulls,# of cats,"# other predators , please list",Weather_Conditions,Lunar,Wind_Speed,Wind_Direction,# of boats,"Time of boats arrival (24 hr time, please list with comma in between)",Size of vessel (ft) (please list with comma in between),Type of lighting on boats (please list with comma in between and specify ON/OFF),Notes,Ref,Weather Coding
08/26/2022,03:49:00,On,On,4,,,,,,,4,0,2,0,2,0,0,0,Front of fish plant,5,1,,1,0.7,34,25,0,,,,"Dead murre (unknown species due to deterioration) found floating in harbour, no weather data available, used weather from closest time of night",,
08/26/2022,04:36:00,On,On,1,,,,,,,1,0,1,0,0,0,0,0,Front of fish plant,4,0,0,1,0.7,34,25,0,,,,,,
09/08/2022,21:27:00,Off,On,0,0,0,0,0,0,0,,,,,,,,,NA,87,0,,1,Moon does not pass the meridan on this day,54,2,0,,,,"15 old carcasses, very bright moon",,
09/08/2022,23:28:00,On,Off,0,,,,,,,,,,,,,,,NA,47,1,,1,Moon does not pass the meridan on this day,54,2,0,,,,,,
09/09/2022,01:27:00,Off,On,0,,,,,,,,,,,,,,,NA,71,1,,1,97.5,36,5,0,,,,"Moon super bright, no weather data available but used data from closest time",,
09/13/2022,21:30:00,Off,On,1,39,0,31,5,36,3,0,0,0,0,0,0,0,1,NA,,,,0,97.5,54,2,,,,,LESP dead by gull,,
09/13/2022,22:10:00,Off,On,5,,,,,,,0,0,0,0,0,0,3,2,NA,,,,0,97.5,54,2,,,,,2 dead by neck break,,
09/14/2022,00:40:00,Off,On,12,,,,,,,0,0,0,0,0,0,12,0,NA,,,,0,83,35,34,,,,,,,
09/14/2022,01:10:00,Off,On,3,,,,,,,0,0,0,0,0,0,3,0,NA,25,0,0,0,83,35,34,1,,,,Boat in harbour,,
09/14/2022,02:20:00,Off,On,15,,,,,,,,,,,,,8,,NA,,,,0,83,35,34,,,,,,,
09/14/2022,03:45:00,Off,On,3,,,,,,,,,,,,,2,,NA,,,,0,83,35,34,,,,,"Stopped at 3:45, all Sherry's boxes empty",,
09/25/2021,,On,On,40,40,16,24,0,37,3,15,1,,,,,22,2,,,,,0,83,34,25,,,,,"Not collected by Tori. Observer was Bill Montevecchi, Mohammad Fahmy, and Juliana Coffey",,
09/28/2022,22:31:00,Off,On,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,13,0,0,"1
6",9,60,19,0,,,,,,
09/29/2022,00:34:00,Off,On,0,,,,,,,0,0,0,0,0,0,0,0,NA,30,0,0,"4
6",16.6,NA,NA,0,,,,,,
09/29/2022,01:21:00,Off,On,0,,,,,,,0,0,0,0,0,0,0,0,NA,31,0,0,"5
6",16.6,NA,NA,0,,,,,,
09/29/2022,21:20:00,On,On,0,10,9,1,0,8,2,0,0,0,0,0,0,0,0,NA,7,0,0,1,16.6,NA,NA,0,,,,2 flying around when we arrived then dissapeared. Can't tell if it's cloudy or not but no rain. No weather data available so used WC from same night,,
09/29/2022,23:02:00,On,On,1,,,,,,,1,0,,,,,0,0,Front of fish plant,16,1,0,1,16.6,NA,NA,,,,,"No longer distinguishing breeding\nb, no weather data available used WC from same night dif time (fog and cloud cover)",,
09/30/2022,00:15:00,On,On,2,,,,,,,1,1,,,,,0,0,Front of fish plant,14,0,0,1,26.1,48,35,0,,,,"Saw petrel get taken by gull , live bird was injured but released fine",,
09/30/2022,02:01:00,On,On,5,,,,,,,4,0,3,,,,0,1,"Front of fish plant
Loading dock",9,0,0,1,26.1,48,35,1,1:39,,LED,"Name of boat was covenant, no petrels seen around it. Dead bird was likely a juvenile but unsure bc it was not obvious, no weather data available, used weather from same night (fog and cloud cover)",,
09/30/2022,03:03:00,On,On,2,,,,,,,2,0,2,0,0,0,0,0,Front of fish plant,3,1,0,1,26.1,48,35,0,,,,"No weather data available, used WC from same night dif time (fog and cloud cover data)",,
10/01/2021,,Off,On,443,443,0,0,443,443,0,,,,,,,,,,,,,6,28,NA,NA,,,,,Not collected by Tori. Observers were Taylor Brown and Juliana Coffey,,
10/02/2021,20:00:00,On,On,0,138,0,0,138,124,14,0,0,0,0,0,0,0,0,,,1,,0,19,42,26,,,,,"Not collected by Tori. Observers were Taylor Brown, Juliana Coffey, Robert Blackmore, and Fiona Le Taro",,
10/02/2021,20:30:00,On,On,0,,,,,,,0,0,0,0,0,0,0,0,,,1,,0,19,42,26,,,,,"Not collected by Tori. Observers were Taylor Brown, Juliana Coffey, Robert Blackmore, and Fiona Le Taro",,
10/02/2021,22:00:00,On,On,47,,,,,,,2,0,,,,,40,5,,,1,,0,19,42,26,,,,,"Not collected by Tori. Observers were Taylor Brown, Juliana Coffey, Robert Blackmore, and Fiona Le Taro",,
10/02/2021,23:30:00,On,On,24,,,,,,,2,0,,,,,17,5,,,1,,0,19,42,26,,,,,"Not collected by Tori. Observers were Taylor Brown, Juliana Coffey, Robert Blackmore, and Fiona Le Taro",,
10/03/2021,00:00:00,On,On,10,,,,,,,3,0,,,,,7,0,,,1,,0,19,42,26,,,,,"Not collected by Tori. Observers were Taylor Brown, Juliana Coffey, Robert Blackmore, and Fiona Le Taro",,
10/03/2021,00:30:00,On,On,13,,,,,,,1,0,,,,,11,1,,,1,,0,19,42,26,,,,,"Not collected by Tori. Observers were Taylor Brown, Juliana Coffey, Robert Blackmore, and Fiona Le Taro",,
10/03/2021,01:00:00,On,On,11,,,,,,,1,0,,,,,9,1,,,1,,0,19,42,26,,,,,"Not collected by Tori. Observers were Taylor Brown, Juliana Coffey, Robert Blackmore, and Fiona Le Taro",,
10/03/2021,02:00:00,On,On,10,,,,,,,0,0,,,,,8,2,,,1,,0,19,42,26,,,,,"Not collected by Tori. Observers were Taylor Brown, Juliana Coffey, Robert Blackmore, and Fiona Le Taro. Obs from truck only.",,
10/03/2021,02:30:00,On,On,16,,,,,,,4,0,,,,,12,0,,,1,,0,19,42,26,,,,,"Not collected by Tori. Observers were Taylor Brown, Juliana Coffey, Robert Blackmore, and Fiona Le Taro. LESP rescued from front of the building only",,
10/03/2021,03:00:00,On,On,7,,,,,,,1,0,,,,,6,0,,,1,,0,19,42,26,,,,,"Not collected by Tori. Observers were Taylor Brown, Juliana Coffey, Robert Blackmore, and Fiona Le Taro. Saw about 5 get eaten by gulls.",,
